Actual,Predicted
36,53.0
64,78.0
74,75.0
77,1.0
77,53.0
1,70.0
74,78.0
74,73.0
5,85.0
69,81.0
77,90.0
5,58.0
85,95.0
72,82.0
59,76.0
74,69.0
88,78.0
71,80.0
75,56.0
81,37.0
71,77.0
67,77.0
73,75.0
81,77.0
72,8.0
84,71.0
69,76.0
46,78.0
86,84.0
66,67.0
86,20.0
92,30.0
4,53.0
65,67.0
55,65.0
74,84.0
62,56.0
86,68.0
66,36.0
78,77.0
81,86.0
66,65.0
78,48.0
66,86.0
74,81.0
86,75.0
44,47.0
83,68.0
59,81.0
82,6.0
78,65.0
59,53.0
72,74.0
73,65.0
87,84.0
71,74.0
55,82.0
82,64.0
62,86.0
55,77.0
37,33.0
79,84.0
63,52.0
83,82.0
47,5.0
66,75.0
37,36.0
69,52.0
39,36.0
65,45.0
83,74.0
75,82.0
47,3.0
49,49.0
78,36.0
65,67.0
34,33.0
69,8.0
56,42.0
88,87.0
70,4.0
72,77.0
65,55.0
2,73.0
68,85.0
62,5.0
70,76.0
48,39.0
25,69.0
84,53.0
5,76.0
36,33.0
82,78.0
74,67.0
84,80.0
79,1.0
41,32.0
2,43.0
62,77.0
10,67.0
77,42.0
58,78.0
88,80.0
43,37.0
81,80.0
44,40.0
86,87.0
83,80.0
39,70.0
33,33.0
81,69.0
85,86.0
79,60.0
63,45.0
58,79.0
72,86.0
61,74.0
82,76.0
30,64.0
1,77.0
41,48.0
49,65.0
82,90.0
73,77.0
62,86.0
89,81.0
77,59.0
78,80.0
76,69.0
77,90.0
6,68.0
2,61.0
74,68.0
85,77.0
32,96.0
71,1.0
67,80.0
76,68.0
55,83.0
53,50.0
35,39.0
83,82.0
47,81.0
84,67.0
34,31.0
59,56.0
40,90.0
76,81.0
30,74.0
81,79.0
83,84.0
89,82.0
89,86.0
85,65.0
67,55.0
79,52.0
32,32.0
18,52.0
83,87.0
70,79.0
3,76.0
59,60.0
4,61.0
76,75.0
72,6.0
35,30.0
1,52.0
2,78.0
77,81.0
67,83.0
32,83.0
85,84.0
90,90.0
78,5.0
1,43.0
65,70.0
1,17.0
81,74.0
34,37.0
93,70.0
48,50.0
83,46.0
