Actual,Predicted
36,37.08
64,69.7
74,73.77
77,62.78
77,49.88
1,53.73
74,70.77
74,69.62
5,61.22
69,70.685
77,60.62
5,62.01766666666667
85,73.16
72,77.64
59,75.31
74,73.81
88,70.17
71,60.32
75,65.46
81,41.91
71,74.9
67,66.51
73,69.53
81,71.7
72,61.83
84,60.37
69,65.28
46,66.34
86,71.94
66,64.84
86,51.44
92,54.74
4,71.02
65,70.36
55,67.31
74,69.95
62,62.15
86,69.61
66,68.52
78,67.79
81,73.732
66,42.12
78,66.31666666666666
66,68.32
74,67.04
86,64.15
44,57.9125
83,59.71
59,65.3025
82,28.55
78,66.03
59,68.24
72,68.96
73,63.99
87,71.35
71,65.09
55,64.64
82,65.44
62,75.63
55,58.24
37,33.06
79,71.66
63,59.16
83,68.44
47,50.61083333333334
66,66.2
37,44.01
69,61.63
39,44.01
65,64.01
83,78.9
75,71.75
47,73.09
49,39.78
78,56.495
65,63.57
34,37.64
69,65.79
56,57.38
88,69.145
70,51.65
72,61.38
65,67.73
2,60.68
68,76.17
62,43.957166666666666
70,68.21
48,45.66
25,69.05
84,64.94
5,67.6
36,38.82
82,63.9
74,76.01
84,68.04
79,61.185
41,38.72
2,60.4445
62,71.78
10,66.41
77,77.07
58,73.1
88,51.82
43,39.77
81,71.28
44,36.68
86,72.43
83,55.33
39,70.58
33,40.45333333333333
81,71.58
85,74.99
79,76.54
63,75.5
58,58.13
72,70.26
61,71.01
82,55.15
30,51.055
1,71.2
41,60.01
49,60.83
82,65.69
73,68.47
62,65.47
89,74.53
77,68.05
78,58.48
76,69.39
77,70.86
6,62.69
2,67.22
74,67.42
85,73.92
32,76.26
71,64.76
67,60.0
76,73.8
55,70.1
53,73.49
35,45.23
83,64.4325
47,63.22
84,71.98
34,41.1
59,68.67
40,73.89
76,72.29
30,57.42
81,69.72
83,72.22
89,74.39
89,75.5
85,72.31
67,65.64
79,42.9
32,34.9
18,62.16
83,74.45
70,46.94
3,73.59
59,65.11
4,78.38
76,73.36
72,71.18
35,38.91
1,57.65
2,69.69
77,63.01
67,65.81
32,48.05
85,75.16
90,80.8
78,46.84
1,61.0875
65,68.81
1,58.81
81,60.405
34,35.87
93,63.1
48,43.81
83,68.67
