Actual,Predicted
36,30.4
64,71.0
74,82.4
77,65.8
77,52.4
1,53.6
74,81.0
74,60.0
5,47.6
69,52.6
77,68.0
5,70.4
85,69.4
72,72.8
59,77.2
74,74.4
88,70.4
71,47.0
75,79.0
81,46.0
71,74.4
67,73.4
73,71.8
81,73.2
72,55.4
84,75.4
69,50.8
46,66.4
86,68.8
66,62.4
86,53.6
92,47.6
4,65.4
65,76.8
55,65.6
74,65.0
62,79.0
86,72.2
66,80.8
78,66.6
81,81.8
66,54.2
78,64.4
66,73.6
74,77.0
86,72.2
44,62.2
83,74.0
59,73.8
82,53.4
78,83.6
59,55.8
72,81.4
73,71.2
87,66.6
71,60.6
55,48.4
82,71.8
62,75.2
55,54.6
37,35.6
79,78.2
63,53.2
83,76.4
47,65.4
66,73.8
37,52.6
69,63.0
39,53.0
65,76.2
83,82.0
75,55.2
47,80.4
49,36.0
78,44.4
65,56.0
34,39.8
69,67.8
56,53.8
88,58.0
70,55.6
72,60.4
65,69.8
2,69.2
68,75.8
62,70.8
70,65.4
48,60.2
25,77.4
84,61.8
5,75.2
36,44.6
82,68.8
74,74.0
84,83.0
79,69.2
41,33.4
2,76.4
62,78.0
10,70.4
77,80.6
58,70.4
88,39.6
43,57.4
81,59.8
44,39.6
86,52.8
83,54.6
39,58.4
33,41.6
81,78.0
85,71.4
79,75.6
63,67.0
58,77.8
72,76.4
61,72.6
82,55.0
30,39.0
1,74.0
41,71.8
49,61.2
82,71.0
73,75.2
62,68.4
89,74.8
77,61.4
78,59.2
76,68.0
77,79.6
6,63.0
2,75.4
74,67.2
85,75.6
32,59.6
71,73.6
67,64.4
76,76.0
55,52.8
53,70.2
35,40.2
83,71.0
47,59.6
84,76.0
34,55.8
59,79.0
40,70.2
76,68.6
30,48.2
81,58.2
83,57.0
89,77.8
89,75.0
85,71.8
67,73.0
79,36.0
32,29.2
18,77.0
83,76.8
70,45.0
3,71.0
59,55.8
4,81.0
76,59.8
72,73.4
35,49.0
1,62.8
2,63.2
77,48.6
67,56.0
32,63.8
85,76.0
90,78.6
78,42.0
1,56.8
65,74.0
1,62.0
81,74.4
34,34.0
93,73.2
48,40.4
83,69.4
