track_name_encoded,artist_encoded,album_encoded,release_year,duration_min
31,247,101,2018,6.449611111111112e-05
699,454,612,2016,6.401472222222223e-05
660,414,582,2019,5.3044444444444446e-05
308,177,190,2020,6.633472222222222e-05
431,119,198,2016,5.7207222222222214e-05
418,330,378,2013,6.13275e-05
43,106,131,2017,8.072666666666667e-05
288,410,554,2015,6.146666666666667e-05
58,233,458,2010,5.9511111111111116e-05
767,414,336,2017,5.54e-05
83,200,207,2017,5.6762777777777773e-05
461,153,231,2018,7.042222222222223e-05
724,261,112,2012,7.372972222222222e-05
784,414,335,2017,5.221472222222222e-05
97,454,103,2020,5.556805555555555e-05
397,441,359,2021,4.6987222222222214e-05
727,368,609,2018,4.3899999999999996e-05
182,283,718,2019,6.37111111111111e-05
692,233,536,2015,5.577388888888889e-05
186,454,612,2016,7.229222222222222e-05
541,409,414,2018,6.143777777777777e-05
510,156,199,2004,6.965555555555555e-05
617,273,730,2019,3.6455555555555555e-05
470,438,407,2019,6.147388888888889e-05
651,454,33,2020,5.989611111111111e-05
558,219,406,2011,7.912944444444444e-05
187,261,112,2012,6.192222222222221e-05
300,243,274,2019,5.1615277777777776e-05
741,119,643,2018,5.902777777777777e-05
559,142,719,2016,4.832583333333334e-05
150,353,462,2013,7.14625e-05
885,70,787,2018,5.560694444444444e-05
624,454,612,2016,6.08e-05
843,156,665,2002,8.064444444444445e-05
154,438,407,2019,4.9562777777777775e-05
763,46,664,2014,4.9071666666666666e-05
40,306,717,2015,6.417027777777778e-05
20,454,33,2020,0.000100285
729,106,131,2017,5.976388888888888e-05
653,261,575,2023,5.809888888888889e-05
500,306,357,2021,5.2635e-05
95,438,8,2014,6.439611111111111e-05
101,200,109,2022,4.5906666666666665e-05
405,106,366,2016,8.876666666666666e-05
173,139,432,2010,5.521833333333333e-05
269,233,364,2021,4.255277777777778e-05
135,368,292,2019,5.9800000000000003e-05
772,200,207,2017,5.1985e-05
155,106,146,2019,7.133305555555555e-05
285,142,577,2018,5.5270277777777774e-05
862,261,766,2013,6.557027777777777e-05
121,454,451,2018,6.343694444444445e-05
179,200,469,2012,4.930722222222221e-05
