track_name,artist,album,release_date,popularity,spotify_url,id,duration_min,release_year,track_name_encoded,artist_encoded,album_encoded
All The Stars (with SZA),Kendrick Lamar,Black Panther The Album Music From And Inspired By,2018-02-09,95,https://open.spotify.com/track/3GCdLUSnKSMJhs4Tj6CV3s,3GCdLUSnKSMJhs4Tj6CV3s,6.449611111111112e-05,2018,31,247,101
Starboy,The Weeknd,Starboy,2016-11-25,90,https://open.spotify.com/track/7MXVkk9YMctZqd1Srtv4MB,7MXVkk9YMctZqd1Srtv4MB,6.401472222222223e-05,2016,699,454,612
Señorita,Shawn Mendes,Señorita,2019-06-21,80,https://open.spotify.com/track/0TK2YIli7K1leLovkQiNik,0TK2YIli7K1leLovkQiNik,5.3044444444444446e-05,2019,660,414,582
Heat Waves,Glass Animals,Dreamland,2020-08-07,87,https://open.spotify.com/track/3USxtqRwSYz57Ewm6wWRMp,3USxtqRwSYz57Ewm6wWRMp,6.633472222222222e-05,2020,308,177,190
Let Me Love You,DJ Snake,Encore,2016-08-05,87,https://open.spotify.com/track/0lYBSQXN6rCTvUZvg9S0lU,0lYBSQXN6rCTvUZvg9S0lU,5.7207222222222214e-05,2016,431,119,198
La La La,Naughty Boy,La La La,2013-01-01,77,https://open.spotify.com/track/52gvlDnre9craz9dKGObp8,52gvlDnre9craz9dKGObp8,6.13275e-05,2013,418,330,378
Apocalypse,Cigarettes After Sex,Cigarettes After Sex,2017-06-09,73,https://open.spotify.com/track/0yc6Gst2xkRu0eMLeRMGCX,0yc6Gst2xkRu0eMLeRMGCX,8.072666666666667e-05,2017,43,106,131
Good For You,Selena Gomez,Revival (Deluxe),2015-10-09,80,https://open.spotify.com/track/5xdVqHtFS0eLuNp4Z8Wbpa,5xdVqHtFS0eLuNp4Z8Wbpa,6.146666666666667e-05,2015,288,410,554
Baby,Justin Bieber,My World 2.0,2010-01-01,84,https://open.spotify.com/track/6epn3r7S14KUqlReYr77hA,6epn3r7S14KUqlReYr77hA,5.9511111111111116e-05,2010,58,233,458
There's Nothing Holdin' Me Back,Shawn Mendes,Illuminate (Deluxe),2017-04-20,88,https://open.spotify.com/track/7JJmb5XwzOO8jgpou264Ml,7JJmb5XwzOO8jgpou264Ml,5.54e-05,2017,767,414,336
Believer,Imagine Dragons,Evolve,2017-06-23,88,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP,0pqnGHJpmpxLKifKRmU6WP,5.6762777777777773e-05,2017,83,200,207
Love Me Like You Do,Ellie Goulding,Fifty Shades Freed (Original Motion Picture Soundtrack),2018-02-09,81,https://open.spotify.com/track/0Cy7wt6IlRfBPHXXjmZbcP,0Cy7wt6IlRfBPHXXjmZbcP,7.042222222222223e-05,2018,461,153,231
Summertime Sadness,Lana Del Rey,Born To Die - The Paradise Edition,2012-01-01,85,https://open.spotify.com/track/3BJe4B8zGnqEdQPMvfVjuS,3BJe4B8zGnqEdQPMvfVjuS,7.372972222222222e-05,2012,724,261,112
Treat You Better,Shawn Mendes,Illuminate,2017-04-20,86,https://open.spotify.com/track/3QGsuHI8jO1Rx4JWLUh9jd,3QGsuHI8jO1Rx4JWLUh9jd,5.221472222222222e-05,2017,784,414,335
Blinding Lights,The Weeknd,Blinding Lights,2020-09-11,63,https://open.spotify.com/track/6qYkmqFsXbj8CQjAdbYz07,6qYkmqFsXbj8CQjAdbYz07,5.556805555555555e-05,2020,97,454,103
Jalebi Baby (Tesher x Jason Derulo),Tesher,Jalebi Baby (Tesher x Jason Derulo),2021-05-28,68,https://open.spotify.com/track/6FvSS3Goz7OC8oCC2eWqe8,6FvSS3Goz7OC8oCC2eWqe8,4.6987222222222214e-05,2021,397,441,359
Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture),2018-12-14,83,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P,3KkXRkHbMCARz0aVfEt68P,4.3899999999999996e-05,2018,727,368,609
Despacito,Luis Fonsi,VIDA,2019-02-01,82,https://open.spotify.com/track/6habFhsOp2NvshLv26DqMb,6habFhsOp2NvshLv26DqMb,6.37111111111111e-05,2019,182,283,718
Sorry,Justin Bieber,Purpose (Deluxe),2015-11-13,86,https://open.spotify.com/track/09CtPGIpYB4BrO8qb1RGsF,09CtPGIpYB4BrO8qb1RGsF,5.577388888888889e-05,2015,692,233,536
Die For You,The Weeknd,Starboy,2016-11-25,81,https://open.spotify.com/track/2Ch7LmS7r2Gy2kc64wv3Bz,2Ch7LmS7r2Gy2kc64wv3Bz,7.229222222222222e-05,2016,186,454,612
No Lie,Sean Paul,Mad Love The Prequel,2018-06-29,84,https://open.spotify.com/track/48QmG1dfvMuYLxMPt7KSRA,48QmG1dfvMuYLxMPt7KSRA,6.143777777777777e-05,2018,541,409,414
Mockingbird,Eminem,Encore (Deluxe Version),2004-11-12,87,https://open.spotify.com/track/561jH07mF1jHuk7KlaeF0s,561jH07mF1jHuk7KlaeF0s,6.965555555555555e-05,2004,510,156,199
Ransom,Lil Tecca,We Love You Tecca,2019-08-30,87,https://open.spotify.com/track/1lOe9qE0vR9zwWQAOk6CoO,1lOe9qE0vR9zwWQAOk6CoO,3.6455555555555555e-05,2019,617,273,730
